halqa_id,name,political_party,votes_2013,,
PP-7,Zahid Mehmood Kiani,Muttahida Qaumi Movement Pakistan,65,,
PP-8,Faisal Iqbal,Independent,12999,,
PP-8,Iftikhar Ahmad Awan,Jamiat Ulama-e-Pakistan (Noorani),126,,
PP-8,Khawaja Muhammad imtiaz,Independent,729,,
PP-8,Malik Taimoor Masood,Pakistan Tehreek-e-Insaf,49876,,
PP-8,Malik Umer Farooq,Pakistan Muslim League (N),40442,,
PP-8,Muhammad Aamir Hashmi,All Pakistan Muslim League,102,,
PP-8,Muhammad Khusro,Millat Party,0,,
PP-8,Muhammad Sarwar,MUTAHIDA DEENI MAHAZ,254,,
PP-8,Muhammad Waqqas Khan,Jamaat-e-Islami Pakistan,4717,,
PP-8,Najeeb ur Rehman Arshad,Millat Party,0,,
PP-8,Nasir Mehmood,Independent,201,,
PP-8,Safeer Alam,Jamiat Ulama-e-Islam (F),1333,,
PP-8,Safir Khan,Pakistan Peoples Party Parliamentarians,7250,,
PP-8,Sheikh Masood Sadiq,Pakistan Peoples Party (Shaheed Bhutto),61,,
PP-8,Syed Husnain Gillani,Independent,112,,
PP-8,Tariq Mehmood,Pakistan Sunni Tehreek,2005,,
PP-8,Waqas Mehmood Khan,Independent,132,,
PP-9,AAMIR NADEEM WARRAICH,Independent,15,,
PP-9,ADNAN AHMED NISAR,Awami Muslim League Pakistan,1656,,
PP-9,AMMAD ALI NASIR,Independent,15,,
PP-9,ASIF MEHMOOD,Pakistan Tehreek-e-Insaf,29797,,
PP-9,CHAUDHARY MUHAMMAD AYAZ,Pakistan Muslim League (N),29524,,
PP-9,EJAZ HUSSAIN,Independent,120,,
PP-9,GUL AZEEM SHAH,Jamiat Ulama-e-Islam (F),325,,
PP-9,MUHAMMAD BASHARAT AHMED,Jamaat-e-Islami Pakistan,1342,,
PP-9,MUHAMMAD MUQARAB ALI,Independent,3,,
PP-9,NAVEED YOUNAS,Muttahida Qaumi Movement Pakistan,130,,
PP-9,RIZWAN MOUEED RAJA,Pakistan Peoples Party Parliamentarians,2849,,
PP-9,SAAD AFZAL,Tehreek-e-Tahafuze Pakistan,824,,
PP-9,SAFEER AHMED,Pakistan Falah Party,25,,
PP-9,SHEIKH ZAFAR ULLAH,Pakistan Sunni Tehreek,73,,
PP-9,TAHIRA BANO MUBARAK,Majlis-e-Wahdat-e-Muslimeen Pakistan,192,,
PP-9,UMAIR DANIEL,Independent,156,,
PP-9,YOEL GILL,Independent,216,,
PP-9,ZEESHAN MUMTAZ,Independent,1575,,
PP-10,ABDUL JALIL,Jamaat-e-Islami Pakistan,2841,,
PP-10,FARAH ASIF,Muttahida Qaumi Movement Pakistan,50,,
PP-10,FARRUKH INNAYAT,Pakistan Falah Party,30,,
PP-10,HAROON NAZIR,Christian Progressive Movement,375,,
PP-10,IFTIKHAR AHMED,Independent,162,,
PP-10,ISRAR AHMAD KHAN,Pakistan Peoples Party (Shaheed Bhutto),320,,
PP-10,KHURSHEED ANWAR QURESHI,Independent,9,,
PP-10,MALIK ABDUR RAUF,Pakistan Sunni Tehreek,1646,,
PP-10,MALIK IFTIKHAR AHMED,Pakistan Muslim League (N),42539,,
PP-10,MALIK MEHBOOB ELLAHI,Pakistan Muslim League,9912,,
PP-10,MIRZA ASIF MEHMOOD,Pak Wattan Party,24,,
PP-10,MIRZA MUKHTAR ALI KHAN,Jumiat Ulma-e-Islam(Nazryati),56,,
PP-10,MUHAMMAD RAFIQUE BUTT,Independent,82,,
PP-10,MUHAMMAD SHERAZ,Awami National Party,152,,
PP-10,QAZI MUHAMMAD YASIR NAZIR,MUTAHIDA DEENI MAHAZ,830,,
PP-10,SAJJAD NAZIR,Independent,294,,
PP-10,TANVEER AHMAD,Independent,88,,
PP-10,UMER TANVEER,Pakistan Tehreek-e-Insaf,36521,,
PP-11,BEN HUR YOUSAF,Independent,87,,
PP-11,FAKHRA ZAINAB ZAIDI,All Pakistan Muslim League,41,,
PP-11,HAMAYUN BASHIR SHEIKH,Tehreek-e-Tahafuze Pakistan,181,,
PP-11,JEHANGIR HASSAN MINHAS,Muttahida Qaumi Movement Pakistan,511,,
PP-11,MALIK KHALID NAWAZ,Pakistan Peoples Party Parliamentarians,4455,,
PP-11,MIRZA MANSOOR BAIG,Independent,37,,
PP-11,MUHAMMAD JAVED,Awami National Party,77,,
PP-11,MUHAMMAD YOUSAF NAWAZ,Jannat Pakistan Party,46,,
PP-11,MUHAMMAD ZIA UR REHMAN AMAZAI,Jamiat Ulama-e-Islam (F),1303,,
PP-11,QAZI ABDUL KHABBIR,Independent,507,,
