name,province_id
Jacobabad,Sindh
Jamesabad,Sindh
Jamshoro,Sindh
Janghar,Sindh
Jati (Mughalbhin),Sindh
Jhudo,Sindh
Jungshahi,Sindh
Kandiaro,Sindh
Karachi,Sindh
Kashmor,Sindh
Keti Bandar,Sindh
Khairpur,Sindh
Khora,Sindh
Klupro,Sindh
Khokhropur,Sindh
Korangi,Sindh
Kotri,Sindh
Kot Sarae,Sindh
Larkana,Sindh
Lund,Sindh
Mathi,Sindh
Matiari,Sindh
Mehar,Sindh
Mirpur Batoro,Sindh
Mirpur Khas,Sindh
Mirpur Sakro,Sindh
Mithi,Sindh
Mithani,Sindh
Moro,Sindh
Nagar Parkar,Sindh
Naushara,Sindh
Naudero,Sindh
Noushero Feroz,Sindh
Nawabshah,Sindh
Nazimabad,Sindh
Naokot,Sindh
Pendoo,Sindh
Pokran,Sindh
Qambar,Sindh
Qazi Ahmad,Sindh
Ranipur,Sindh
Ratodero,Sindh
Rohri,Sindh
Saidu Sharif,Sindh
Sakrand,Sindh
Sanghar,Sindh
Shadadkhot,Sindh
Shahbandar,Sindh
Shahdadpur,Sindh
Shahpur Chakar,Sindh
Shikarpur,Sindh
Sujawal,Sindh
Sukkur,Sindh
Tando Adam,Sindh
Tando Allahyar,Sindh
Tando Bago,Sindh
Tar Ahamd Rind,Sindh
Thatta,Sindh
Tujal,Sindh
Umarkot,Sindh
Veirwaro,Sindh
Warah,Sindh
